iter	Passed	Remaining
0	142	142664
1	143	71629
2	144	47919
3	144	36059
4	145	28941
5	146	24195
6	146	20802
7	147	18259
8	147	16280
9	148	14699
10	149	13405
11	149	12325
12	150	11412
13	150	10627
14	151	9949
15	152	9355
16	152	8832
17	153	8365
18	153	7947
19	154	7571
20	155	7232
21	155	6924
22	156	6643
23	156	6384
24	157	6145
25	158	5925
26	158	5721
27	159	5531
28	159	5355
29	160	5190
30	161	5036
31	161	4892
32	162	4756
33	162	4629
34	163	4509
35	164	4395
36	164	4288
37	165	4186
38	165	4089
39	166	3998
40	167	3910
41	167	3827
42	168	3747
43	168	3671
44	169	3598
45	170	3530
46	170	3464
47	171	3400
48	172	3339
49	172	3280
50	173	3223
51	173	3170
52	174	3117
53	175	3067
54	175	3019
55	176	2972
56	176	2926
57	177	2883
58	178	2841
59	178	2800
60	179	2760
61	179	2721
62	180	2684
63	181	2649
64	181	2613
65	182	2579
66	182	2547
67	183	2511
68	183	2480
69	184	2449
70	185	2420
71	185	2392
72	186	2364
73	186	2338
74	187	2311
75	188	2286
76	188	2261
77	189	2237
78	189	2213
79	190	2190
80	191	2168
81	191	2145
82	192	2124
83	192	2103
84	193	2081
85	193	2061
86	194	2039
87	194	2020
88	195	2001
89	196	1983
90	196	1965
91	197	1948
92	197	1930
93	198	1914
94	199	1897
95	199	1881
96	200	1865
97	201	1850
98	201	1835
99	202	1820
100	202	1805
101	203	1788
102	203	1774
103	204	1760
104	204	1747
105	205	1733
106	206	1720
107	206	1707
108	207	1694
109	207	1682
110	208	1669
111	209	1657
112	209	1645
113	210	1634
114	210	1622
115	211	1610
116	211	1599
117	212	1588
118	213	1577
119	213	1566
120	214	1556
121	214	1546
122	215	1534
123	215	1524
124	216	1514
125	216	1504
126	217	1495
127	217	1484
128	218	1475
129	219	1466
130	219	1457
131	220	1449
132	220	1440
133	221	1431
134	222	1423
135	222	1415
136	223	1406
137	223	1398
138	224	1390
139	225	1382
140	225	1374
141	226	1366
142	226	1359
143	227	1351
144	228	1344
145	228	1337
146	229	1330
147	229	1323
148	230	1316
149	231	1309
150	231	1302
151	232	1296
152	232	1289
153	233	1282
154	234	1276
155	234	1269
156	235	1263
157	235	1257
158	236	1250
159	237	1244
160	237	1238
161	238	1232
162	238	1226
163	239	1220
164	240	1215
165	240	1209
166	241	1203
167	241	1197
168	242	1192
169	243	1186
170	243	1181
171	244	1176
172	244	1170
173	245	1165
174	246	1160
175	246	1155
176	247	1150
177	247	1145
178	248	1140
179	249	1135
180	249	1129
181	250	1123
182	250	1119
183	251	1114
184	251	1109
185	252	1105
186	253	1100
187	253	1095
188	254	1091
189	254	1086
190	255	1082
191	256	1078
192	256	1073
193	257	1069
194	258	1065
195	258	1061
196	259	1057
197	259	1052
198	260	1048
199	261	1044
200	261	1040
201	262	1036
202	263	1032
203	263	1028
204	264	1024
205	264	1020
206	265	1016
207	266	1013
208	266	1009
209	267	1005
210	267	1001
211	268	997
212	269	993
213	269	990
214	270	986
215	270	982
216	271	979
217	272	975
218	272	972
219	273	968
220	273	965
221	274	961
222	274	958
223	275	954
224	276	951
225	276	947
226	277	944
227	277	941
228	278	937
229	279	934
230	279	931
231	280	928
232	281	925
233	281	921
234	282	918
235	282	915
236	283	912
237	284	909
238	284	906
239	285	903
240	285	900
241	286	897
242	287	894
243	287	891
244	288	888
245	289	885
246	289	883
247	290	880
248	290	877
249	291	874
250	292	871
251	292	868
252	293	865
253	293	863
254	294	860
255	295	857
256	295	854
257	296	852
258	296	849
259	297	846
260	298	843
261	298	841
262	299	838
263	299	836
264	300	833
265	301	830
266	301	828
267	302	825
268	302	823
269	303	820
270	304	818
271	304	815
272	305	813
273	305	810
274	306	808
275	307	805
276	307	803
277	308	800
278	309	798
279	309	796
280	310	793
281	310	791
282	311	789
283	312	786
284	312	784
285	313	782
286	313	780
287	314	777
288	315	775
289	315	773
290	316	771
291	317	768
292	317	766
293	318	764
294	318	762
295	319	759
296	320	757
297	320	755
298	321	753
299	321	751
300	322	748
301	323	746
302	323	744
303	324	742
304	324	740
305	325	738
306	326	736
307	326	734
308	327	731
309	327	729
310	328	727
311	329	725
312	329	723
313	330	721
314	330	719
315	331	717
316	332	715
317	332	713
318	333	711
319	333	709
320	334	707
321	335	705
322	335	703
323	336	701
324	336	699
325	337	697
326	338	695
327	338	693
328	339	692
329	339	690
330	340	688
331	341	686
332	341	684
333	342	682
334	343	680
335	343	679
336	344	677
337	344	675
338	345	673
339	346	671
340	346	669
341	347	668
342	347	666
343	348	664
344	348	662
345	349	660
346	350	659
347	350	657
348	351	655
349	351	653
350	352	651
351	353	650
352	353	648
353	354	646
354	355	645
355	355	643
356	356	641
357	356	639
358	357	638
359	358	636
360	358	635
361	359	633
362	360	631
363	360	630
364	361	628
365	362	627
366	362	625
367	363	623
368	363	622
369	364	620
370	365	619
371	365	617
372	366	615
373	366	614
374	367	612
375	368	611
376	368	609
377	369	607
378	370	606
379	370	604
380	371	603
381	371	601
382	372	600
383	373	598
384	373	596
385	374	595
386	374	593
387	375	592
388	376	590
389	376	589
390	377	587
391	377	586
392	378	584
393	379	583
394	379	581
395	380	580
396	381	579
397	381	577
398	382	576
399	383	574
400	383	573
401	384	571
402	384	570
403	385	568
404	386	567
405	386	565
406	387	564
407	387	562
408	388	561
409	389	559
410	389	558
411	390	556
412	390	555
413	391	554
414	392	552
415	392	551
416	393	549
417	393	548
418	394	547
419	395	545
420	395	544
421	396	542
422	396	541
423	397	540
424	398	538
425	398	537
426	399	535
427	399	534
428	400	532
429	401	531
430	401	530
431	402	528
432	402	527
433	403	526
434	404	524
435	404	523
436	405	522
437	405	520
438	406	519
439	407	518
440	407	516
441	408	515
442	408	514
443	409	512
444	410	511
445	410	510
446	411	508
447	411	507
448	412	506
449	413	504
450	413	503
451	414	502
452	414	501
453	415	499
454	416	498
455	416	497
456	417	495
457	417	494
458	418	493
459	419	491
460	419	490
461	420	489
462	420	488
463	421	486
464	422	485
465	422	484
466	423	483
467	423	481
468	424	480
469	425	479
470	425	478
471	426	476
472	426	475
473	427	474
474	427	473
475	428	471
476	429	470
477	429	469
478	430	468
479	430	466
480	431	465
481	432	464
482	432	463
483	433	461
484	433	460
485	434	459
486	435	458
487	435	457
488	436	456
489	437	454
490	437	453
491	438	452
492	438	451
493	439	450
494	439	448
495	440	447
496	441	446
497	441	445
498	442	444
499	442	442
500	443	441
501	443	440
502	444	439
503	445	438
504	445	437
505	446	435
506	447	434
507	447	433
508	448	432
509	448	431
510	449	430
511	450	428
512	450	427
513	451	426
514	451	425
515	452	424
516	453	423
517	453	422
518	454	420
519	454	419
520	455	418
521	456	417
522	456	416
523	457	415
524	457	414
525	458	413
526	459	412
527	459	410
528	460	409
529	460	408
530	461	407
531	462	406
532	462	405
533	463	404
534	464	403
535	464	402
536	465	401
537	465	400
538	466	398
539	467	397
540	467	396
541	468	395
542	468	394
543	469	393
544	470	392
545	470	391
546	471	390
547	471	389
548	472	388
549	472	386
550	473	385
551	474	384
552	474	383
553	475	382
554	476	381
555	476	380
556	477	379
557	477	378
558	478	377
559	479	376
560	479	375
561	480	374
562	480	373
563	481	372
564	481	371
565	482	370
566	483	368
567	483	367
568	484	366
569	484	365
570	485	364
571	486	363
572	486	362
573	487	361
574	488	360
575	488	359
576	489	358
577	489	357
578	490	356
579	491	355
580	491	354
581	492	353
582	492	352
583	493	351
584	493	350
585	494	349
586	495	348
587	495	347
588	496	346
589	496	345
590	497	344
591	498	343
592	498	342
593	499	341
594	499	340
595	500	339
596	501	338
597	501	337
598	502	336
599	502	335
600	503	334
601	504	333
602	504	332
603	505	331
604	505	330
605	506	329
606	507	328
607	507	327
608	508	326
609	508	325
610	509	324
611	510	323
612	511	322
613	511	321
614	512	320
615	512	319
616	513	318
617	514	317
618	514	316
619	515	315
620	515	314
621	516	313
622	517	312
623	517	311
624	518	310
625	518	310
626	519	308
627	519	307
628	520	307
629	521	306
630	521	305
631	522	304
632	523	303
633	523	302
634	524	301
635	525	300
636	525	299
637	526	298
638	527	297
639	527	296
640	528	295
641	528	294
642	529	293
643	530	293
644	530	292
645	531	291
646	531	290
647	532	289
648	533	288
649	533	287
650	534	286
651	534	285
652	535	284
653	536	283
654	536	282
655	537	281
656	537	280
657	538	279
658	539	278
659	539	278
660	540	277
661	540	276
662	541	275
663	542	274
664	542	273
665	543	272
666	543	271
667	544	270
668	545	269
669	545	268
670	546	267
671	546	266
672	547	266
673	548	265
674	548	264
675	549	263
676	549	262
677	550	261
678	551	260
679	551	259
680	552	258
681	552	257
682	553	256
683	554	256
684	554	255
685	555	254
686	555	253
687	556	252
688	557	251
689	557	250
690	558	249
691	558	248
692	559	247
693	560	246
694	560	246
695	561	245
696	561	244
697	562	243
698	563	242
699	563	241
700	564	240
701	565	239
702	565	238
703	566	238
704	566	237
705	567	236
706	567	235
707	568	234
708	569	233
709	569	232
710	570	231
711	570	230
712	571	230
713	572	229
714	572	228
715	573	227
716	573	226
717	574	225
718	575	224
719	575	223
720	576	222
721	576	222
722	577	221
723	578	220
724	578	219
725	579	218
726	579	217
727	580	216
728	581	216
729	581	215
730	582	214
731	583	213
732	583	212
733	584	211
734	584	210
735	585	209
736	586	209
737	586	208
738	587	207
739	587	206
740	588	205
741	589	204
742	589	203
743	590	203
744	590	202
745	591	201
746	591	200
747	592	199
748	593	198
749	593	197
750	594	197
751	594	196
752	595	195
753	596	194
754	596	193
755	597	192
756	597	191
757	598	191
758	599	190
759	599	189
760	600	188
761	600	187
762	601	186
763	602	185
764	602	185
765	603	184
766	603	183
767	604	182
768	605	181
769	605	180
770	606	180
771	606	179
772	607	178
773	608	177
774	608	176
775	609	175
776	609	175
777	610	174
778	611	173
779	611	172
780	612	171
781	612	170
782	613	170
783	614	169
784	614	168
785	615	167
786	616	166
787	616	165
788	617	165
789	617	164
790	618	163
791	619	162
792	619	161
793	620	160
794	620	160
795	621	159
796	622	158
797	622	157
798	623	156
799	623	155
800	624	155
801	624	154
802	625	153
803	626	152
804	626	151
805	627	151
806	628	150
807	628	149
808	629	148
809	629	147
810	630	146
811	631	146
812	631	145
813	632	144
814	632	143
815	633	142
816	634	142
817	634	141
818	635	140
819	635	139
820	636	138
821	636	137
822	637	137
823	637	136
824	638	135
825	639	134
826	639	133
827	640	133
828	640	132
829	641	131
830	642	130
831	642	129
832	643	128
833	644	128
834	644	127
835	645	126
836	645	125
837	646	124
838	647	124
839	647	123
840	648	122
841	648	121
842	649	120
843	650	120
844	650	119
845	651	118
846	651	117
847	652	116
848	652	116
849	653	115
850	654	114
851	654	113
852	655	112
853	655	112
854	656	111
855	657	110
856	657	109
857	658	108
858	659	108
859	659	107
860	660	106
861	660	105
862	661	104
863	662	104
864	662	103
865	663	102
866	663	101
867	664	101
868	665	100
869	665	99
870	666	98
871	666	97
872	667	97
873	668	96
874	668	95
875	669	94
876	669	93
877	670	93
878	671	92
879	671	91
880	672	90
881	672	90
882	673	89
883	674	88
884	674	87
885	675	86
886	676	86
887	676	85
888	677	84
889	677	83
890	678	82
891	679	82
892	679	81
893	680	80
894	680	79
895	681	79
896	681	78
897	682	77
898	683	76
899	683	75
900	684	75
901	685	74
902	685	73
903	686	72
904	686	72
905	687	71
906	688	70
907	688	69
908	689	68
909	689	68
910	690	67
911	690	66
912	691	65
913	692	65
914	692	64
915	693	63
916	693	62
917	694	62
918	695	61
919	695	60
920	696	59
921	696	58
922	697	58
923	698	57
924	698	56
925	699	55
926	699	55
927	700	54
928	701	53
929	701	52
930	702	52
931	702	51
932	703	50
933	704	49
934	704	48
935	705	48
936	705	47
937	706	46
938	706	45
939	707	45
940	708	44
941	708	43
942	709	42
943	709	42
944	710	41
945	711	40
946	711	39
947	712	39
948	712	38
949	713	37
950	714	36
951	714	36
952	715	35
953	715	34
954	716	33
955	717	33
956	717	32
957	718	31
958	718	30
959	719	29
960	719	29
961	720	28
962	721	27
963	721	26
964	722	26
965	722	25
966	723	24
967	724	23
968	724	23
969	725	22
970	725	21
971	726	20
972	727	20
973	727	19
974	728	18
975	729	17
976	729	17
977	730	16
978	730	15
979	731	14
980	732	14
981	732	13
982	733	12
983	733	11
984	734	11
985	735	10
986	735	9
987	736	8
988	736	8
989	737	7
990	737	6
991	738	5
992	739	5
993	739	4
994	740	3
995	740	2
996	741	2
997	742	1
998	742	0
999	743	0
